TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,TokenContractAddress,Type,TokenSymbol,TokensTransferred,TransactionFee,Status,ErrCode
0x259f6c4f3da9f7b6766724abadf505adb75d70e20a9566dec5ad6c091e6b1311,807688,2023-02-17 00:44:28.000000Z,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x09a0e3aA15aa464620D50A5E09Bf11369088571c,0xDc3af65eCBD339309Ec55F109CB214E0325c5eD4,OUT,USDT,98480712329381024553,171912000802256,ok,
0x259f6c4f3da9f7b6766724abadf505adb75d70e20a9566dec5ad6c091e6b1311,807688,2023-02-17 00:44:28.000000Z,0x09a0e3aA15aa464620D50A5E09Bf11369088571c,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x5200000000000000000000000000000000000001,IN,WOAS,912000000000000000000,171912000802256,ok,
0x4a2d58a82a0592a14f7c8143b611bc9fcb9d74c9b62929a4e29f9b447ab05a67,807689,2023-02-17 00:44:43.000000Z,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x0000000000000000000000000000000000000000,0x5200000000000000000000000000000000000001,OUT,WOAS,918000000000000000000,63649500297031,ok,
0x04af4e72aa96c2bfb5d10332bffd46eb9484f57e597c45f4730869fbeaa33c4c,807691,2023-02-17 00:45:13.000000Z,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x0000000000000000000000000000000000000000,0x5200000000000000000000000000000000000001,OUT,WOAS,912000000000000000000,63649500297031,ok,
0xab821ed9c08abecb3ffd45c76ff47471d192debb8c7645768c5839ad8c2c5998,807708,2023-02-17 00:49:28.000000Z,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x09a0e3aA15aa464620D50A5E09Bf11369088571c,0xDc3af65eCBD339309Ec55F109CB214E0325c5eD4,OUT,USDT,97165830963113750507,171912000802256,ok,
0xab821ed9c08abecb3ffd45c76ff47471d192debb8c7645768c5839ad8c2c5998,807708,2023-02-17 00:49:28.000000Z,0x09a0e3aA15aa464620D50A5E09Bf11369088571c,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x5200000000000000000000000000000000000001,IN,WOAS,899000000000000000000,171912000802256,ok,
0x56d2da7b281d91ff25e68ee0945576d03ad2db93f531bcd476e7c965a4eaab7c,807709,2023-02-17 00:49:43.000000Z,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x09a0e3aA15aa464620D50A5E09Bf11369088571c,0xDc3af65eCBD339309Ec55F109CB214E0325c5eD4,OUT,USDT,97227651659336451410,171912000802256,ok,
0x56d2da7b281d91ff25e68ee0945576d03ad2db93f531bcd476e7c965a4eaab7c,807709,2023-02-17 00:49:43.000000Z,0x09a0e3aA15aa464620D50A5E09Bf11369088571c,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x5200000000000000000000000000000000000001,IN,WOAS,899000000000000000000,171912000802256,ok,
0x00e7bbeb94dda67bbd7c8bbbe09aff01d92c885b1005765679f99eb14bb60f48,807710,2023-02-17 00:49:58.000000Z,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x0000000000000000000000000000000000000000,0x5200000000000000000000000000000000000001,OUT,WOAS,899000000000000000000,63649500297031,ok,
0x0b86818378da6aa1e05d3423c23384b4925ae3776e9589c8189557b110d91358,807711,2023-02-17 00:50:13.000000Z,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x09a0e3aA15aa464620D50A5E09Bf11369088571c,0xDc3af65eCBD339309Ec55F109CB214E0325c5eD4,OUT,USDT,97293350556476303765,171912000802256,ok,
0x0b86818378da6aa1e05d3423c23384b4925ae3776e9589c8189557b110d91358,807711,2023-02-17 00:50:13.000000Z,0x09a0e3aA15aa464620D50A5E09Bf11369088571c,0x0456bA3D973dF5723eB2F99F621736110BF1d66d,0x5200000000000000000000000000000000000001,IN,WOAS,899000000000000000000,171912000802256,ok,